name,attributes_cyl_path,agency_maint,inc_crc,fmel_upd_d,length_m,longitude,latitude
kml_115,Marina Bay,LTA (Others),EA00C62B03792BE5,2022-02-16 13:57:18,43.445632466410075,103.85605445287449,1.27714431817677
kml_116,Marina Bay,LTA (Others),0E6D905399841545,2022-02-16 13:57:18,38.806675835234266,103.85467968060986,1.2782194702950012
kml_117,Clementi,LTA (Others),E16A0A42870B6636,2022-02-16 13:57:18,27.96657184061715,103.7673069580005,1.32059142577445
kml_118,Sembawang,Land Transport Authority,F079D26C4AAC9099,2022-02-16 13:57:18,8.010484556157854,103.82000585797879,1.4469416572079299
kml_119,Yishun,Land Transport Authority,523B96C9CFBF3B10,2022-02-16 13:57:18,20.9080486186362,103.84610498613655,1.4280239640546368
kml_120,Sembawang,Land Transport Authority,0B662F1105C5A2CA,2022-02-16 13:57:18,22.11892759918794,103.82106827926879,1.4470602034188131
kml_121,Yishun,Land Transport Authority,AF22F458D0ECFC76,2022-02-16 13:57:18,35.300640987346746,103.83670701247148,1.417407800903895
kml_122,Yishun,Land Transport Authority,5831E7EECF856E4B,2022-02-16 13:57:18,12.565350816143837,103.83605357860922,1.4172261359852223
kml_123,Yishun,Land Transport Authority,A59CC5A54EB761B6,2022-02-16 13:57:18,39.412515470992055,103.837341068308,1.425852255162885
kml_124,Jurong Lake District - Taman Jurong,Land Transport Authority,E9D5E079AC48CE11,2022-02-16 13:57:18,42.260415287543424,103.7235066446225,1.3378138409902547
kml_125,Jurong Lake District - Taman Jurong,Land Transport Authority,D599BE7EE189189A,2022-02-16 13:57:18,36.23460140347301,103.7240205780995,1.33814309874544
kml_126,Punggol,LTA (Others),936601DADF259E48,2022-02-16 13:57:18,40.85481145697306,103.9130990953121,1.3981982514115991
kml_127,Punggol,LTA (Others),F035A241EC2EFB95,2022-02-16 13:57:18,48.62378573806024,103.9128003559885,1.3981221928746257
kml_128,Punggol,LTA (Others),1F4D217F608A1D5A,2022-02-16 13:57:18,14.581928006144176,103.91293138946449,1.39834631720589
kml_129,Punggol,LTA (Others),AF1EFB20E1F75CDA,2022-02-16 13:57:18,57.49002912994405,103.90914353966775,1.4010558402003428
kml_130,Punggol,LTA (Others),4C9580C9B9E46F3E,2022-02-16 13:57:18,57.49893544126238,103.9063926109327,1.402681857059026
kml_131,Jurong Lake District - Taman Jurong,LTA (Others),7FE1051CEB1CD8B8,2022-02-16 13:57:18,13.989353673903237,103.722719068662,1.32806311462241
kml_132,Jurong Lake District - Taman Jurong,LTA (Others),7FE1051CEB1CD8B8,2022-02-16 13:57:18,13.989353673903237,103.722719068662,1.32806311462241
kml_133,Jurong Lake District - Taman Jurong,Land Transport Authority,2F7072E05391BA77,2022-02-16 13:57:18,26.995505520287043,103.722690039008,1.327337524868345
kml_134,Jurong Lake District - Taman Jurong,LTA (Others),1EC5051F251D3093,2022-02-16 13:57:18,4.8289447896648,103.7217947260675,1.33562534997957
kml_135,Jurong Lake District - Taman Jurong,LTA (Others),1EC5051F251D3093,2022-02-16 13:57:18,4.8289447896648,103.7217947260675,1.33562534997957
kml_136,Jurong Lake District - Taman Jurong,LTA (Others),7E27623C7BEDD651,2022-02-16 13:57:18,24.597011225673295,103.72202869410847,1.3356011997164101
kml_137,Sembawang,Land Transport Authority,5675B0C3D435B060,2022-02-16 13:57:18,12.77869663664766,103.822228664998,1.44999224305239
kml_138,Jurong Lake District - Taman Jurong,LTA (Others),D56AF3DEC661E280,2022-02-16 13:57:18,9.436350427401175,103.73732307113158,1.3427396996812222
kml_139,Jurong Lake District - Taman Jurong,Land Transport Authority,35B15AB1F6008D7D,2022-02-16 13:57:18,4.567678692993275,103.73737769193698,1.34270827129325
kml_140,Jurong Lake District - Taman Jurong,LTA (Others),576131B6C267CDEC,2022-02-16 13:57:18,2.0101442454326017,103.7374033459255,1.3426935054116549
kml_141,Jurong Lake District - Taman Jurong,LTA (Others),04AA85CA51E831BE,2022-02-16 13:57:18,3.729097750126458,103.73782116606151,1.34246088754658
kml_142,Jurong Lake District - Taman Jurong,Land Transport Authority,CB037E1906078B00,2022-02-16 13:57:18,19.207560079571582,103.73837185538585,1.342239173088144
kml_143,Jurong Lake District - Taman Jurong,LTA (Others),9BA6AD65EA4BB80B,2022-02-16 13:57:18,2.3791164435104974,103.7384226201755,1.3423200524685899
kml_144,Jurong Lake District - Taman Jurong,Land Transport Authority,058BD46852AFCC94,2022-02-16 13:57:18,24.896737406165972,103.73848395754,1.342426827153075
kml_145,Jurong Lake District - Taman Jurong,LTA (Others),818C02B7E9A6D350,2022-02-16 13:57:18,2.445649467237245,103.73854544450501,1.342533862299785
kml_146,Jurong Lake District - Taman Jurong,LTA (Others),EADE139AD6A41816,2022-02-16 13:57:18,1.9563366773542674,103.731356526638,1.346173047773365
kml_147,Jurong Lake District - Taman Jurong,Land Transport Authority,34165B5FFF7358B6,2022-02-16 13:57:18,11.416173402078284,103.731414449408,1.3461891058187851
kml_148,Jurong Lake District - Taman Jurong,LTA (Others),82EDBADAFD0ADB5B,2022-02-16 13:57:18,2.208886229773212,103.731473466163,1.3462054668714152
kml_149,Jurong Lake District - Taman Jurong,Land Transport Authority,AD7A76861C32D02D,2022-02-16 13:57:18,36.30287871502487,103.73088921246135,1.3460457260283274
kml_150,Jurong Lake District - Taman Jurong,LTA (Others),86D45542C29BDA02,2022-02-16 13:57:18,41.487396244078056,103.71924229222499,1.345904671175925
kml_151,Jurong Lake District - Taman Jurong,LTA (Others),4AD2C88EDDDF45F6,2022-02-16 13:57:18,63.30176531843839,103.7362964688831,1.343179833503265
