Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
AFFINITY AT SERANGOON,"1,347,390",850.36,"1,585",May-21,SERANGOON NORTH AVENUE 1,New Sale,Strata,79,"17,056",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
AFFINITY AT SERANGOON,"1,386,000",904.18,"1,533",May-21,SERANGOON NORTH AVENUE 1,New Sale,Strata,84,"16,500",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05
TREASURE AT TAMPINES,"1,302,000",914.94,"1,423",May-21,TAMPINES LANE,New Sale,Strata,85,"15,318",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
SENGKANG GRAND RESIDENCES,"1,305,600",764.24,"1,708",May-21,COMPASSVALE BOW,New Sale,Strata,71,"18,389",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10
THE FLORENCE RESIDENCES,"1,077,000",624.31,"1,725",May-21,HOUGANG AVENUE 2,New Sale,Strata,58,"18,569",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
THE PANORAMA,"1,100,000",785.77,"1,400",May-21,ANG MO KIO AVENUE 2,Resale,Strata,73,"15,068",-,Condominium,1,99 yrs lease commencing from 2013,20,Outside Central Region,01 to 05
FERRARIA PARK CONDOMINIUM,"845,000",882.65,957,May-21,FLORA DRIVE,Resale,Strata,82,"10,305",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
TREASURE AT TAMPINES,"1,570,000","1,033.34","1,519",May-21,TAMPINES LANE,New Sale,Strata,96,"16,354",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
THE JOVELL,"1,332,900","1,033.34","1,290",May-21,FLORA DRIVE,New Sale,Strata,96,"13,884",-,Condominium,1,99 yrs lease commencing from 2018,17,Outside Central Region,01 to 05
TREASURE AT TAMPINES,"1,047,000",678.13,"1,544",May-21,TAMPINES LANE,New Sale,Strata,63,"16,619",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
BLISS@KOVAN,"1,300,000",914.94,"1,421",May-21,SIMON LANE,Resale,Strata,85,"15,294",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
THE BENTLY RESIDENCES@KOVAN,"2,280,000","2,077.45","1,097",May-21,KOVAN ROAD,Resale,Strata,193,"11,813",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
TREASURE AT TAMPINES,"1,309,000",914.94,"1,431",May-21,TAMPINES LANE,New Sale,Strata,85,"15,400",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,11 to 15
